likes,replies,quotes,retweets,searchQuery,clean_content,tanggal,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment
0,0,0,0,#gibran,result togel november jogjatoto palembang pools coba hoki nya jogjatoto taut https jogja com hasilresulttogel resulttogel resulttogelwla gibran hujan undip prabowo minggu togelwla jogjatoto hasilresultjogjatoto chonburipools,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#gibran,result togel november jogjatoto sunda pools coba hoki nya jogjatoto taut https jogja com hasilresulttogel resulttogel resulttogelwla gibran hujan undip prabowo minggu togelwla jogjatoto hasilresultjogjatoto chonburipools,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#gibran,result togel november jogjatoto belarusia pools coba hoki nya jogjatoto taut https jogja com hasilresulttogel resulttogel resulttogelwla gibran hujan undip prabowo minggu togelwla jogjatoto hasilresultjogjatoto chonburipools,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#gibran,result togel november jogjatoto toto macau season coba hoki nya jogjatoto taut https jogja com hasilresulttogel resulttogel resulttogelwla gibran hujan undip prabowo minggu togelwla jogjatoto hasilresultjogjatoto chonburipools,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,politik muhaiminiskandar cakimin mahasiswaunisma unisma viral mahasiswa tinggal auditorium cak imin pidato mahasiswa lihat tinggal ruang auditorium salah calon wapres muhaimin iskandar dlvr it sytrcx,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#gibran,result togel november jogjatoto japan pools coba hoki nya jogjatoto taut https jogja com hasilresulttogel resulttogel resulttogelwla gibran hujan undip prabowo minggu togelwla jogjatoto hasilresultjogjatoto chonburipools,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
9,1,0,1,#cakimin,bacapres anies baswedan ketua tpn anies muhaimin amin anies bentuk tim menang superhero bentuk tim menang avenger anies cakimin makassar kompas com read,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,ganjar konsisten tolak israel indonesia ganjarmahfud ganjarmahfud jagademokrasi paktelur anakpresiden ganjarpranowo aniesbaswedan cakimin prabowo,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,nakama matten da jama su na buah utas nakama naruto onepiece aniesbaswedan cakimin prabowo gibranrakabumingraka pilpres pinterpolitik politikindonesia beritapolitik,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,temu din syamsuddin cak imin klaim menang putar kabarterdepan com bertemu dinsyamsuddin cakimin putaran kabarterdepan,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
2924,647,287,441,#cakimin,calon presiden wakil presiden koalisi ubah anies baswedan muhaimin iskandar amin janji cuti lahir orang ayah anies cakimin pemilu kcm jernihmemilih nasional kompas com read,10/24/2023,10/24/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,1,0,#cakimin,kaos vintage anies baswedan ubah only k shopee co id t shirt anies b aminkanindonesia aminajadulu anismuhaimin anismuhaimin pkb nasdem pks cakimin muhaiminiskandar,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=1.0, assessments=[(['only'], 0.0, 1.0, None)])",0,1,0,0,1,0,Neutral
10,1,1,1,#cakimin,gus choi surya paloh pasang duet koalisi ubah putar menang pilpres j aniesimin suryapaloh aniesbaswedan cakimin jernihkanharapan,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,muhaimin iskandar kunjung kantor pusat mta solo cakimin muhaiminiskandar majelistafsiralquran mtasolo republika co id r s ocwm,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,mahfud,gaspoll maju ganjar mahfud inspirasi anak muda indonesia karya pakk,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,#cakimin,janji revisi politik politikindonesia politiksatire politikhumor politiktoday politikonoha cakimin deddycorbuzier aniesbaswedan closethedoor janjikampanyecakimin capres pilpres cawapres pkb nasdem,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
4,0,0,2,mahfud,kiai jabar nilai ganjar mahfud pasang alam mkmk fuji scarlett siang ange kevin anwar usman peach,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
186,146,26,62,gibran,malam golkar gelar resepsi syukur hut latar kantor dpp golkar slipi presiden jokowi capres prabowo subijanto hadir kartu tanda anggota pagi gibran tiket gratis golkar jerih payah,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0.0516,0,0.956,0.044,Positive
0,0,0,0,#mahfudmd,dukung ganjar pranowo mahfud md ganjarpranowo mahfudmd ganjarmahfud,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
1,0,0,0,#mahfud,ganjar pranowo pilih pimpin bangsa indonesia ganjarcapres ganjarpresiden ganjarpranowo ganjar mahfud mahfudmd ganjarmahfud sahabatganjar relawanganjar jawatengah jateng,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
70,2,2,30,#muhaimin,beuh mantap gus langsung paham muhaimin aniesmuhaimin anies amin,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
202,20,8,84,mahfud,hasil demokrasi kualitas jokowi baliho bungsu ditanyain intimidasi baliho ganjar mahfud bendera pdi juang copot nyaman protes,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
0,0,0,0,cakimin,mandi kembang cakimin,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0,0,0,0,1,0,Neutral
