id,likes,quotes,replies,retweets,searchQuery,text,timestamp,tanggal,url,user_description,user_join,user_location,user_totalfollwer,user_following,user_totalikes,user_tweets,user_url,user_firstname,user_username,user_verified,user_website,username,verified
1.73E+18,135,5,32,84,#indonesiamaju,"Analisis yang keren banget dari Bang Hasan Nasbi nih!!! Menangkan Prabowo-Gibran!!!

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",2023-11-21T17:31:00.000Z,11/21/2023,https://twitter.com/dekade_08/status/1727016857985777831,Prabowo Presiden 2024,2022-10-03T12:33:00.000Z,"DKI Jakarta, Indonesia",1760,70,347,3980,https://twitter.com//dekade_08,DEKADE 08,@dekade_08,TRUE,dekade08.id,,TRUE
1.73E+18,256,5,69,103,#indonesiamaju,"Mari kita bersatu, kita fokus melihat ke depan dan fokus mencari putra dan putri terbaik bangsa, dalam rangka membangun Indonesia ke arah yang lebih baik lagi. #PrabowoSubianto #prabowo #prabowogibran #IndonesiaMaju #gerindra",2023-11-21T09:06:00.000Z,11/21/2023,https://twitter.com/Gerindra/status/1726889732188373089,"Kalau Bukan Kita, Siapa Lagi? Kalau Bukan Sekarang, Kapan Lagi? Ikuti terus perjuangan Partai Gerakan Indonesia Raya dalam membangun Indonesia yang Berdikari.",2011-10-25T00:51:00.000Z,Indonesia Raya,728913,4012,4315,136965,https://twitter.com//Gerindra,Partai Gerindra,@Gerindra,TRUE,Gerindra.id,,TRUE
1.73E+18,1,0,0,0,#indonesiamaju,"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",2023-11-22T06:40:00.000Z,11/22/2023,https://twitter.com/Budi_Bokir/status/1727215358418026778,Perkerja Tangguh Untuk NKRI,2023-10-19T03:51:00.000Z,"Bangka Belitung, Indonesia",0,1,513,509,https://twitter.com//Budi_Bokir,Budiana,@Budi_Bokir,FALSE,,,FALSE
1.73E+18,1,0,0,0,#indonesiamaju,"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",2023-11-22T06:39:00.000Z,11/22/2023,https://twitter.com/Budi_Bokir/status/1727215164951580709,Perkerja Tangguh Untuk NKRI,2023-10-19T03:51:00.000Z,"Bangka Belitung, Indonesia",0,1,513,509,https://twitter.com//Budi_Bokir,Budiana,@Budi_Bokir,FALSE,,,FALSE
1.73E+18,1,0,0,0,#indonesiamaju,"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",2023-11-22T06:39:00.000Z,11/22/2023,https://twitter.com/Budi_Bokir/status/1727215285000913132,Perkerja Tangguh Untuk NKRI,2023-10-19T03:51:00.000Z,"Bangka Belitung, Indonesia",0,1,513,509,https://twitter.com//Budi_Bokir,Budiana,@Budi_Bokir,FALSE,,,FALSE
1.73E+18,1,0,0,0,#indonesiamaju,"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",2023-11-22T06:39:00.000Z,11/22/2023,https://twitter.com/Budi_Bokir/status/1727215199957221688,Perkerja Tangguh Untuk NKRI,2023-10-19T03:51:00.000Z,"Bangka Belitung, Indonesia",0,1,513,509,https://twitter.com//Budi_Bokir,Budiana,@Budi_Bokir,FALSE,,,FALSE
1.73E+18,170,4,90,98,#prabowo,"Petani Kebumen: Prabowo-Gibran menang harapan kami petani sejahtera hidupnya 
#kebumen #prabowo #gibran  tvonenews.com/daerah/jateng/…",2023-11-21T04:49:00.000Z,11/21/2023,https://twitter.com/bengkeldodo/status/1726825174761345261,REINKARNASI TERAKHlR KU,2012-05-11T02:12:00.000Z,"Kebumen, Indonesia",34901,4787,274158,330984,https://twitter.com//bengkeldodo,,@bengkeldodo,FALSE,bengkeldodo.blogspot.com,,FALSE
1.73E+18,111,6,27,75,#prabowo,"Pak SBY nyatakan siap all out dukung Prabowo buat jadi Presiden RI ke-8.

Kemenangan semakin di depan mata nih guys!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #SBY #susilobambangyudoyono #demokrat",2023-11-21T02:34:00.000Z,11/21/2023,https://twitter.com/dekade_08/status/1726791145794240820,Prabowo Presiden 2024,2022-10-03T12:33:00.000Z,"DKI Jakarta, Indonesia",1760,70,347,3980,https://twitter.com//dekade_08,DEKADE 08,@dekade_08,TRUE,dekade08.id,,TRUE
1.73E+18,1,0,0,0,#indonesiamaju,"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",2023-11-22T06:39:00.000Z,11/22/2023,https://twitter.com/Budi_Bokir/status/1727215109481918823,Perkerja Tangguh Untuk NKRI,2023-10-19T03:51:00.000Z,"Bangka Belitung, Indonesia",0,1,513,509,https://twitter.com//Budi_Bokir,Budiana,@Budi_Bokir,FALSE,,,FALSE
1.73E+18,1,0,0,0,#indonesiamaju,"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",2023-11-22T06:19:00.000Z,11/22/2023,https://twitter.com/kharism79/status/1727210103466865052,,2022-08-30T02:15:00.000Z,"Kota Jambi, Jambi",145,50,1281,2860,https://twitter.com//kharism79,kharisma,@kharism79,FALSE,,,FALSE
