text,clean_content,likes,replies,quotes,retweets,searchQuery,user_location,tanggal,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment
"Analisis yang keren banget dari Bang Hasan Nasbi nih!!! Menangkan Prabowo-Gibran!!!

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",analisis keren banget bang hasan nasbi nih menang prabowo gibran prabowo prabowosubianto gibran gibranrakabuming prabowogibran hasannasbi indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo,135,32,5,84,#indonesiamaju,"DKI Jakarta, Indonesia",11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Mari kita bersatu, kita fokus melihat ke depan dan fokus mencari putra dan putri terbaik bangsa, dalam rangka membangun Indonesia ke arah yang lebih baik lagi. #PrabowoSubianto #prabowo #prabowogibran #IndonesiaMaju #gerindra",mari satu fokus fokus cari putra putri baik bangsa rangka bangun indonesia arah lagi prabowosubianto prabowo prabowogibran indonesiamaju gerindra,256,69,5,103,#indonesiamaju,Indonesia Raya,11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju,1,0,0,0,#indonesiamaju,"Bangka Belitung, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju,1,0,0,0,#indonesiamaju,"Bangka Belitung, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju,1,0,0,0,#indonesiamaju,"Bangka Belitung, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju,1,0,0,0,#indonesiamaju,"Bangka Belitung, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Petani Kebumen: Prabowo-Gibran menang harapan kami petani sejahtera hidupnya 
#kebumen #prabowo #gibran  tvonenews.com/daerah/jateng/",tani kebumen prabowo gibran menang harap tani sejahtera hidup kebumen prabowo gibran tvonenews com daerah jateng,170,90,4,98,#prabowo,"Kebumen, Indonesia",11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pak SBY nyatakan siap all out dukung Prabowo buat jadi Presiden RI ke-8.

Kemenangan semakin di depan mata nih guys!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #SBY #susilobambangyudoyono #demokrat",sby nyata all out dukung prabowo presiden ri ke menang mata nih guys prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade bersamaindonesiamaju sby susilobambangyudoyono demokrat,111,27,6,75,#prabowo,"DKI Jakarta, Indonesia",11/21/2023,2023-11-21,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju,1,0,0,0,#indonesiamaju,"Bangka Belitung, Indonesia",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju,1,0,0,0,#indonesiamaju,"Kota Jambi, Jambi",11/22/2023,2023-11-22,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
