text,clean_content,likes,replies,quotes,retweets,searchQuery,user_location,tanggal,dataset,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound_multi,vader_neg_multi,vader_neu_multi,vader_pos_multi,vader_sentiment_multi
"Sah, Pasangan Prabowo-Gibran dapat Nomor Urut 2 dan Sudah Ditetapkan KPU  newstalk.id/nasional/read/10ï¿½ #Nomor #Urut #Pilres #2 #Prabowo-Gibran",sah pasang prabowo gibran nomor urut tetap kpu newstalk id nasional read nomor urut pilres prabowo gibran,0,0,0,0,#nomor,,11/14/2023,prabowogibran,2023-11-14,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
#nomor 1 Amin menang,nomor amin menang,0,0,0,0,#nomor,,11/15/2023,prabowogibran,2023-11-15,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
Pak Prabowo mengangkat anak penerbang tucano yang gugur menjadi anak asuhnya. Beliau bahkan memberi nomor hp yang bisa ditelfon kapanpun. #semangatbaru #satukomando #kolaborasitanpabatas #gerindra #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang,prabowo angkat anak terbang tucano gugur anak asuh beliau nomor hp ditelfon kapan semangatbaru satukomando kolaborasitanpabatas gerindra gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Unboxing Prabowo; Cerita sejarah, deklarasi budiman sampai kekuatan 4 parpol.
 #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",unboxing prabowo cerita sejarah deklarasi budiman kuat parpol semangatbaru majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,1,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"#Nomor 1

Indonesia beradab",nomor indonesia adab,0,0,0,0,#nomor,,11/14/2023,prabowogibran,2023-11-14,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Setelah proses pengundian, Anies Baswedan-Muhaimin Iskandar (Cak Imin) mendapatkan nomor urut satu, dilanjutkan Prabowo Subianto-Gibran Rakabuming Raka dengan nomor urut dua dan Ganjar Pranowo-Mahfud Md nomor urut tiga.

#KPU #Nomor #Urut #Capres #Cawapres #Pilpres2024 #Pemilu2024",proses undi anies baswedan muhaimin iskandar cak imin nomor urut satu lanjut prabowo subianto gibran rakabuming raka nomor urut ganjar pranowo mahfud md nomor urut tiga kpu nomor urut capres cawapres pilpres pemilu,5,2,1,1,#nomor,,11/14/2023,prabowogibran,2023-11-14,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pakar Intelijen AM Hendropriyono, Jika Tidak Ada Halangan dan Rintangan Sampai Hari Ini, Prabowo-Gibran akan Menang.
 #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",pakar intelijen am hendropriyono halang rintang ini prabowo gibran menang majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pakar Intelijen AM Hendropriyono, Jika Tidak Ada Halangan dan Rintangan Sampai Hari Ini, Prabowo-Gibran akan Menang.
 #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",pakar intelijen am hendropriyono halang rintang ini prabowo gibran menang majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Yang Orang tidak tahu tentang Pak Prabowo 
 #indonesiaterusmaju #energibaru #semangatbaru #majubersamauntukindonesia #satukomando #kolaborasitanpabatas #gerindra #wiswayahe #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",orang prabowo indonesiaterusmaju energibaru semangatbaru majubersamauntukindonesia satukomando kolaborasitanpabatas gerindra wiswayahe gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
"Pak Prabowo Subianto kembali meresmikan 15 titik sumber air bersih, di Provinsi Jawa Barat dan Banten, yang dipusatkan di Desa Pamubulan, Kecamatan Bayah, Kabupaten Lebak, Provinsi Banten.
 #gerindra #gerindramenang #gerindrajateng #kim #gerindrajawatengah #gerindrakotasemarang",prabowo subianto resmi titik sumber air bersih provinsi jawa barat banten pusat desa pamubulan camat bayah kabupaten lebak provinsi banten gerindra gerindramenang gerindrajateng kim gerindrajawatengah gerindrakotasemarang,0,0,0,0,#KIM,,11/20/2023,prabowogibran,2023-11-20,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
