likes,replies,quotes,retweets,searchQuery,clean_content,tanggal,date,textblob_sentiment,textblob_sentiment_assessment,textblob_polarity,textblob_subject,vader_compound,vader_neg,vader_neu,vader_pos,vader_sentiment
0,0,0,0,#anies,semangka aminforfreepalestine anies,11/5/2023,11/5/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,anies muhaimin,muhaimin support system pas banget anies they re like the ultimate squad nminist muak,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=1.0, assessments=[(['ultimate'], 0.0, 1.0, None)])",0.0,1.0,0.6369,0.0,0.698,0.302,Positive
1,1,0,0,mahfud,ganjar proses lapis maksuba sabar libat bahan metode rumit sahabatganjar ganjarpranowo ganjarpresiden ganjaruntuksemua ganjarmahfud,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
91,3,0,47,muhaimin,insyaallah allah rakyat dukung palestina dukung anies muhaimin aniesbaswedan cakiminow nasdem pksejahtera dpp pkb dpp partaiummat nitter net sospunjab status jokowimenyerahlah jokowimenyerahlah,11/5/2023,11/5/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[(['net'], 0.0, 0.0, None)])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,#mahfudmd,juang pemuda ganjarpranowo mahfudmd orang gofud gama ganjartulusmelayani ganjarlebihbaik sahabatganjar jawarakanganjar makganjar mottogp gerakcepat tanpabeban,11/6/2023,11/6/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,#muhaimin,pudar muhaimin pkb,8/2/2023,8/2/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,#cakimin #anies,salip sandiaga uno ahy tikung cak imin putra sby gagal cawapres kali pilpres anies ahy cakimin capres cawapres kaltim tribunnews com tribunkaltim,9/2/2023,9/2/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,prabowo,orang lihat ayahbowo masgibran paham sejahtera rakyat pilihansejuk pilihnyapakbowo asiknyasih amamasgibran akurelawanprabowogibran prabowo gerindra,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,gibran,prabowo gibran dki jakarta prediksi menang habiburokhman dekade,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
0,0,0,0,ganjar,santri muda semangat jejak ganjar diplomasi manusia taeoxocloud ganjar presiden,11/7/2023,11/7/2023,Neutral,"Sentiment(polarity=0.0, subjectivity=0.0, assessments=[])",0.0,0.0,0.0,0.0,1.0,0.0,Neutral
