tanggal,text,likes,replies,quotes,retweets,searchQuery,timestamp,user_location,text_lower,stopwords,norm_content,stem_content,filtering
11/21/2023,"Analisis yang keren banget dari Bang Hasan Nasbi nih!!! Menangkan Prabowo-Gibran!!!

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",135,32,5,84,#indonesiamaju,2023-11-21T17:31:00.000Z,"DKI Jakarta, Indonesia","analisis yang keren banget dari bang hasan nasbi nih!!! menangkan prabowo-gibran!!!

#prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo",analisis keren banget bang hasan nasbi nih!!! menangkan prabowo-gibran!!! #prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo,analisis keren banget bang hasan nasbi nih!!! menangkan prabowo-gibran!!! #prabowo #prabowosubianto #gibran #gibranrakabuming #prabowogibran2024 #hasannasbi #indonesiamaju #bersamaindonesiamaju #dekade08 #mendingprabowo #terusmajubersamaprabowo,analisis keren banget bang hasan nasbi nih menang prabowo-gibran prabowo prabowosubianto gibran gibranrakabuming prabowogibran2024 hasannasbi indonesiamaju bersamaindonesiamaju dekade08 mendingprabowo terusmajubersamaprabowo,analisis keren banget bang hasan nasbi nih menang prabowo gibran prabowo prabowosubianto gibran gibranrakabuming prabowogibran hasannasbi indonesiamaju bersamaindonesiamaju dekade mendingprabowo terusmajubersamaprabowo
11/21/2023,"Mari kita bersatu, kita fokus melihat ke depan dan fokus mencari putra dan putri terbaik bangsa, dalam rangka membangun Indonesia ke arah yang lebih baik lagi. #PrabowoSubianto #prabowo #prabowogibran #IndonesiaMaju #gerindra",256,69,5,103,#indonesiamaju,2023-11-21T09:06:00.000Z,Indonesia Raya,"mari kita bersatu, kita fokus melihat ke depan dan fokus mencari putra dan putri terbaik bangsa, dalam rangka membangun indonesia ke arah yang lebih baik lagi. #prabowosubianto #prabowo #prabowogibran #indonesiamaju #gerindra","mari bersatu, fokus fokus mencari putra putri terbaik bangsa, rangka membangun indonesia arah lagi. #prabowosubianto #prabowo #prabowogibran #indonesiamaju #gerindra","mari bersatu, fokus fokus mencari putra putri terbaik bangsa, rangka membangun indonesia arah lagi. #prabowosubianto #prabowo #prabowogibran #indonesiamaju #gerindra",mari satu fokus fokus cari putra putri baik bangsa rangka bangun indonesia arah lagi prabowosubianto prabowo prabowogibran indonesiamaju gerindra,mari satu fokus fokus cari putra putri baik bangsa rangka bangun indonesia arah lagi prabowosubianto prabowo prabowogibran indonesiamaju gerindra
11/22/2023,"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",1,0,0,0,#indonesiamaju,2023-11-22T06:40:00.000Z,"Bangka Belitung, Indonesia","gubernur bi : pertumbuhan ekonomi indonesia terbaik 

#indonesia 
#indonesiamaju",gubernur bi : pertumbuhan ekonomi indonesia terbaik #indonesia #indonesiamaju,gubernur bi : pertumbuhan ekonomi indonesia terbaik #indonesia #indonesiamaju,gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju,gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju
11/22/2023,"Gubernur BI : Pertumbuhan Ekonomi Indonesia Terbaik 

#Indonesia 
#Indonesiamaju",1,0,0,0,#indonesiamaju,2023-11-22T06:39:00.000Z,"Bangka Belitung, Indonesia","gubernur bi : pertumbuhan ekonomi indonesia terbaik 

#indonesia 
#indonesiamaju",gubernur bi : pertumbuhan ekonomi indonesia terbaik #indonesia #indonesiamaju,gubernur bi : pertumbuhan ekonomi indonesia terbaik #indonesia #indonesiamaju,gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju,gubernur bi tumbuh ekonomi indonesia baik indonesia indonesiamaju
11/22/2023,"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",1,0,0,0,#indonesiamaju,2023-11-22T06:39:00.000Z,"Bangka Belitung, Indonesia","stabilitas pertumbuhan ekonomi indonesia 

#ekonomi 
#indonesiamaju",stabilitas pertumbuhan ekonomi indonesia #ekonomi #indonesiamaju,stabilitas pertumbuhan ekonomi indonesia #ekonomi #indonesiamaju,stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju,stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju
11/22/2023,"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",1,0,0,0,#indonesiamaju,2023-11-22T06:39:00.000Z,"Bangka Belitung, Indonesia","sandiaga uno klaim kreatif indonesia terbaik ketiga di dunia 

#indonesiamaju",sandiaga uno klaim kreatif indonesia terbaik ketiga dunia #indonesiamaju,sandiaga uno klaim kreatif indonesia terbaik ketiga dunia #indonesiamaju,sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju,sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju
11/21/2023,"Petani Kebumen: Prabowo-Gibran menang harapan kami petani sejahtera hidupnya 
#kebumen #prabowo #gibran  tvonenews.com/daerah/jateng/",170,90,4,98,#prabowo,2023-11-21T04:49:00.000Z,"Kebumen, Indonesia","petani kebumen: prabowo-gibran menang harapan kami petani sejahtera hidupnya 
#kebumen #prabowo #gibran  tvonenews.com/daerah/jateng/",petani kebumen: prabowo-gibran menang harapan petani sejahtera hidupnya #kebumen #prabowo #gibran tvonenews.com/daerah/jateng/,petani kebumen: prabowo-gibran menang harapan petani sejahtera hidupnya #kebumen #prabowo #gibran tvonenews.com/daerah/jateng/,tani kebumen prabowo-gibran menang harap tani sejahtera hidup kebumen prabowo gibran tvonenews com daerah jateng,tani kebumen prabowo gibran menang harap tani sejahtera hidup kebumen prabowo gibran tvonenews com daerah jateng
11/21/2023,"Pak SBY nyatakan siap all out dukung Prabowo buat jadi Presiden RI ke-8.

Kemenangan semakin di depan mata nih guys!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #BersamaIndonesiaMaju #SBY #susilobambangyudoyono #demokrat",111,27,6,75,#prabowo,2023-11-21T02:34:00.000Z,"DKI Jakarta, Indonesia","pak sby nyatakan siap all out dukung prabowo buat jadi presiden ri ke-8.

kemenangan semakin di depan mata nih guys!

#prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #bersamaindonesiamaju #sby #susilobambangyudoyono #demokrat",sby nyatakan all out dukung prabowo presiden ri ke-8. kemenangan mata nih guys! #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #bersamaindonesiamaju #sby #susilobambangyudoyono #demokrat,sby nyatakan all out dukung prabowo presiden ri ke-8. kemenangan mata nih guys! #prabowo #gibran #prabowogibran #mendingprabowo #terusmajubersamaprabowo #dekade08 #bersamaindonesiamaju #sby #susilobambangyudoyono #demokrat,sby nyata all out dukung prabowo presiden ri ke-8 menang mata nih guys prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade08 bersamaindonesiamaju sby susilobambangyudoyono demokrat,sby nyata all out dukung prabowo presiden ri ke menang mata nih guys prabowo gibran prabowogibran mendingprabowo terusmajubersamaprabowo dekade bersamaindonesiamaju sby susilobambangyudoyono demokrat
11/22/2023,"Stabilitas Pertumbuhan Ekonomi Indonesia 

#Ekonomi 
#Indonesiamaju",1,0,0,0,#indonesiamaju,2023-11-22T06:39:00.000Z,"Bangka Belitung, Indonesia","stabilitas pertumbuhan ekonomi indonesia 

#ekonomi 
#indonesiamaju",stabilitas pertumbuhan ekonomi indonesia #ekonomi #indonesiamaju,stabilitas pertumbuhan ekonomi indonesia #ekonomi #indonesiamaju,stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju,stabilitas tumbuh ekonomi indonesia ekonomi indonesiamaju
11/22/2023,"Sandiaga Uno Klaim Kreatif Indonesia Terbaik Ketiga di Dunia 

#IndonesiaMaju",1,0,0,0,#indonesiamaju,2023-11-22T06:19:00.000Z,"Kota Jambi, Jambi","sandiaga uno klaim kreatif indonesia terbaik ketiga di dunia 

#indonesiamaju",sandiaga uno klaim kreatif indonesia terbaik ketiga dunia #indonesiamaju,sandiaga uno klaim kreatif indonesia terbaik ketiga dunia #indonesiamaju,sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju,sandiaga uno klaim kreatif indonesia baik tiga dunia indonesiamaju
